stem;ind3sg;ind3pl;prescont3sg;prescont3pl
summarize;summarizes;summarize;is summarizing;are summarizing
grimace;grimaces;grimace;is grimacing;are grimacing
vault;vaults;vault;is vaulting;are vaulting
cane;canes;cane;is caning;are caning
pellet;pellets;pellet;is pelleting;are pelleting
enchant;enchants;enchant;is enchanting;are enchanting
oxidize;oxidizes;oxidize;is oxidizing;are oxidizing
look;looks;look;is looking;are looking
variolate;variolates;variolate;is variolating;are variolating
demoralize;demoralizes;demoralize;is demoralizing;are demoralizing
despite;despites;despite;is despiting;are despiting
sweeten;sweetens;sweeten;is sweetening;are sweetening
ingather;ingathers;ingather;is ingathering;are ingathering
empoison;empoisons;empoison;is empoisoning;are empoisoning
leach;leaches;leach;is leaching;are leaching
spud;spuds;spud;is spudding;are spudding
fancy;fancies;fancy;is fancying;are fancying
select;selects;select;is selecting;are selecting
peptonize;peptonizes;peptonize;is peptonizing;are peptonizing
purr;purrs;purr;is purring;are purring
punce;punces;punce;is puncing;are puncing
detonate;detonates;detonate;is detonating;are detonating
chaff;chaffs;chaff;is chaffing;are chaffing
owe;owes;owe;is owing;are owing
agree;agrees;agree;is agreeing;are agreeing
conjugate;conjugates;conjugate;is conjugating;are conjugating
focalize;focalizes;focalize;is focalizing;are focalizing
massproduce;massproduces;massproduce;is massproducing;are massproducing
outdo;outdoes;outdo;is outdoing;are outdoing
misadvise;misadvises;misadvise;is misadvising;are misadvising
croup;croups;croup;is crouping;are crouping
bait;baits;bait;is baiting;are baiting
whore;whores;whore;is whoring;are whoring
second;seconds;second;is seconding;are seconding
befog;befogs;befog;is befogging;are befogging
encore;encores;encore;is encoring;are encoring
beep;beeps;beep;is beeping;are beeping
vassalize;vassalizes;vassalize;is vassalizing;are vassalizing
signify;signifies;signify;is signifying;are signifying
Jew;Jews;Jew;is Jewing;are Jewing
expectorate;expectorates;expectorate;is expectorating;are expectorating
escarp;escarps;escarp;is escarping;are escarping
dust;dusts;dust;is dusting;are dusting
sleuth;sleuths;sleuth;is sleuthing;are sleuthing
splay;splays;splay;is splaying;are splaying
sketch;sketches;sketch;is sketching;are sketching
elope;elopes;elope;is eloping;are eloping
acetylate;acetylates;acetylate;is acetylating;are acetylating
brey;breys;brey;is breying;are breying
socket;sockets;socket;is socketing;are socketing
countervail;countervails;countervail;is countervailing;are countervailing
nock;nocks;nock;is nocking;are nocking
foul;fouls;foul;is fouling;are fouling
scend;scends;scend;is scending;are scending
bobol;bobols;bobol;is boboling;are boboling
slop;slops;slop;is slopping;are slopping
document;documents;document;is documenting;are documenting
shine;shines;shine;is shining;are shining
rail;rails;rail;is railing;are railing
stack;stacks;stack;is stacking;are stacking
imparadise;imparadises;imparadise;is imparadising;are imparadising
slime;slimes;slime;is sliming;are sliming
blotch;blotches;blotch;is blotching;are blotching
invocate;invocates;invocate;is invocating;are invocating
render;renders;render;is rendering;are rendering
disclose;discloses;disclose;is disclosing;are disclosing
holler;hollers;holler;is hollering;are hollering
resuscitate;resuscitates;resuscitate;is resuscitating;are resuscitating
dismount;dismounts;dismount;is dismounting;are dismounting
scamper;scampers;scamper;is scampering;are scampering
glorify;glorifies;glorify;is glorifying;are glorifying
fishtail;fishtails;fishtail;is fishtailing;are fishtailing
ray;rays;ray;is raying;are raying
perch;perches;perch;is perching;are perching
smirk;smirks;smirk;is smirking;are smirking
bridge;bridges;bridge;is bridging;are bridging
purloin;purloins;purloin;is purloining;are purloining
reenter;reenters;reenter;is reentering;are reentering
mulch;mulches;mulch;is mulching;are mulching
griddle;griddles;griddle;is griddling;are griddling
acclaim;acclaims;acclaim;is acclaiming;are acclaiming
remunerate;remunerates;remunerate;is remunerating;are remunerating
connect;connects;connect;is connecting;are connecting
preconize;preconizes;preconize;is preconizing;are preconizing
peter;peters;peter;is petering;are petering
fray;frays;fray;is fraying;are fraying
compromise;compromises;compromise;is compromising;are compromising
underbid;underbids;underbid;is underbidding;are underbidding
shallow;shallows;shallow;is shallowing;are shallowing
confess;confesses;confess;is confessing;are confessing
displeasure;displeasures;displeasure;is displeasuring;are displeasuring
squiggle;squiggles;squiggle;is squiggling;are squiggling
trammel;trammels;trammel;is trammelling;are trammelling
infamize;infamizes;infamize;is infamizing;are infamizing
incarcerate;incarcerates;incarcerate;is incarcerating;are incarcerating
transpierce;transpierces;transpierce;is transpiercing;are transpiercing
re-cover;re-covers;re-cover;is re-covering;are re-covering
uprise;uprises;uprise;is uprising;are uprising
rout;routs;rout;is routing;are routing
inspire;inspires;inspire;is inspiring;are inspiring
eye;eyes;eye;is eying;are eying
dispense;dispenses;dispense;is dispensing;are dispensing
equivocate;equivocates;equivocate;is equivocating;are equivocating
ladder;ladders;ladder;is laddering;are laddering
ripen;ripens;ripen;is ripening;are ripening
forearm;forearms;forearm;is forearming;are forearming
rebuke;rebukes;rebuke;is rebuking;are rebuking
ambulate;ambulates;ambulate;is ambulating;are ambulating
twiddle;twiddles;twiddle;is twiddling;are twiddling
alert;alerts;alert;is alerting;are alerting
embroider;embroiders;embroider;is embroidering;are embroidering
chiack;chiacks;chiack;is chiacking;are chiacking
flagellate;flagellates;flagellate;is flagellating;are flagellating
Afrikanerize;Afrikanerizes;Afrikanerize;is Afrikanerizing;are Afrikanerizing
unrig;unrigs;unrig;is unrigging;are unrigging
unsaddle;unsaddles;unsaddle;is unsaddling;are unsaddling
parbuckle;parbuckles;parbuckle;is parbuckling;are parbuckling
evanesce;evanesces;evanesce;is evanescing;are evanescing
spout;spouts;spout;is spouting;are spouting
substantialize;substantializes;substantialize;is substantializing;are substantializing
kayo;kayos;kayo;is kayoing;are kayoing
rejuvenate;rejuvenates;rejuvenate;is rejuvenating;are rejuvenating
constipate;constipates;constipate;is constipating;are constipating
Gallicize;Gallicizes;Gallicize;is Gallicizing;are Gallicizing
kittle;kittles;kittle;is kittling;are kittling
forerun;foreruns;forerun;is forerunning;are forerunning
stir;stirs;stir;is stirring;are stirring
polish;polishes;polish;is polishing;are polishing
trounce;trounces;trounce;is trouncing;are trouncing
crossfertilize;crossfertilizes;crossfertilize;is crossfertilizing;are crossfertilizing
constitute;constitutes;constitute;is constituting;are constituting
anathematize;anathematizes;anathematize;is anathematizing;are anathematizing
fester;festers;fester;is festering;are festering
inseminate;inseminates;inseminate;is inseminating;are inseminating
massacre;massacres;massacre;is massacring;are massacring
persecute;persecutes;persecute;is persecuting;are persecuting
imbue;imbues;imbue;is imbuing;are imbuing
merchant;merchants;merchant;is merchanting;are merchanting
boost;boosts;boost;is boosting;are boosting
belch;belches;belch;is belching;are belching
turmoil;turmoils;turmoil;is turmoiling;are turmoiling
blarney;blarneys;blarney;is blarneying;are blarneying
phenolate;phenolates;phenolate;is phenolating;are phenolating
game;games;game;is gaming;are gaming
lacquer;lacquers;lacquer;is lacquering;are lacquering
brush;brushes;brush;is brushing;are brushing
insalivate;insalivates;insalivate;is insalivating;are insalivating
sjambok;sjamboks;sjambok;is sjamboking;are sjamboking
regress;regresses;regress;is regressing;are regressing
readjust;readjusts;readjust;is readjusting;are readjusting
intrust;intrusts;intrust;is intrusting;are intrusting
predicate;predicates;predicate;is predicating;are predicating
drain;drains;drain;is draining;are draining
catalyze;catalyzes;catalyze;is catalyzing;are catalyzing
enkindle;enkindles;enkindle;is enkindling;are enkindling
achieve;achieves;achieve;is achieving;are achieving
intrude;intrudes;intrude;is intruding;are intruding
correct;corrects;correct;is correcting;are correcting
demystify;demystifies;demystify;is demystifying;are demystifying
hint;hints;hint;is hinting;are hinting
slacken;slackens;slacken;is slackening;are slackening
pocket;pockets;pocket;is pocketing;are pocketing
carve;carves;carve;is carving;are carving
marry;marries;marry;is marrying;are marrying
vamp;vamps;vamp;is vamping;are vamping
meddle;meddles;meddle;is meddling;are meddling
delight;delights;delight;is delighting;are delighting
fret;frets;fret;is fretting;are fretting
humidify;humidifies;humidify;is humidifying;are humidifying
endanger;endangers;endanger;is endangering;are endangering
croon;croons;croon;is crooning;are crooning
flick;flicks;flick;is flicking;are flicking
hector;hectors;hector;is hectoring;are hectoring
sequestrate;sequestrates;sequestrate;is sequestrating;are sequestrating
thumbindex;thumbindexes;thumbindex;is thumbindexing;are thumbindexing
popularize;popularizes;popularize;is popularizing;are popularizing
dandify;dandifies;dandify;is dandifying;are dandifying
firm;firms;firm;is firming;are firming
exhaust;exhausts;exhaust;is exhausting;are exhausting
refocuse;refocuses;refocuse;is refocusing;are refocusing
predominate;predominates;predominate;is predominating;are predominating
ogle;ogles;ogle;is ogling;are ogling
stick;sticks;stick;is sticking;are sticking
overlay;overlies;overlie;is overlying;are overlying
enjoy;enjoys;enjoy;is enjoying;are enjoying
debase;debases;debase;is debasing;are debasing
regularize;regularizes;regularize;is regularizing;are regularizing
pistolwhip;pistolwhips;pistolwhip;is pistolwhipping;are pistolwhipping
baksheesh;baksheeshes;baksheesh;is baksheeshing;are baksheeshing
gratify;gratifies;gratify;is gratifying;are gratifying
activate;activates;activate;is activating;are activating
style;styles;style;is styling;are styling
enlace;enlaces;enlace;is enlacing;are enlacing
magnetize;magnetizes;magnetize;is magnetizing;are magnetizing
necessitate;necessitates;necessitate;is necessitating;are necessitating
slipper;slippers;slipper;is slippering;are slippering
praise;praises;praise;is praising;are praising
foist;foists;foist;is foisting;are foisting
thieve;thieves;thieve;is thieving;are thieving
mollycoddle;mollycoddles;mollycoddle;is mollycoddling;are mollycoddling
evoke;evokes;evoke;is evoking;are evoking
heave;heaves;heave;is heaving;are heaving
cellar;cellars;cellar;is cellaring;are cellaring
overtask;overtasks;overtask;is overtasking;are overtasking
trim;trims;trim;is trimming;are trimming
poison;poisons;poison;is poisoning;are poisoning
bootlick;bootlicks;bootlick;is bootlicking;are bootlicking
trellis;trellises;trellis;is trellising;are trellising
variegate;variegates;variegate;is variegating;are variegating
vacillate;vacillates;vacillate;is vacillating;are vacillating
trapan;trapans;trapan;is trapaning;are trapaning
acerbate;acerbates;acerbate;is acerbating;are acerbating
crisp;crisps;crisp;is crisping;are crisping
hustle;hustles;hustle;is hustling;are hustling
copolymerize;copolymerizes;copolymerize;is copolymerizing;are copolymerizing
renegue;renegues;renegue;is reneguing;are reneguing
gall;galls;gall;is galling;are galling
launder;launders;launder;is laundering;are laundering
effloresce;effloresces;effloresce;is efflorescing;are efflorescing
cooper;coopers;cooper;is coopering;are coopering
jell;jells;jell;is jelling;are jelling
brabble;brabbles;brabble;is brabbling;are brabbling
loophole;loopholes;loophole;is loopholing;are loopholing
quintuple;quintuples;quintuple;is quintupling;are quintupling
situate;situates;situate;is situating;are situating
hurtle;hurtles;hurtle;is hurtling;are hurtling
hap;haps;hap;is happing;are happing
ghostwrite;ghostwrites;ghostwrite;is ghostwriting;are ghostwriting
glimmer;glimmers;glimmer;is glimmering;are glimmering
egotrip;egotrips';egotrip;is egotripping;are egotripping
solidify;solidifies;solidify;is solidifying;are solidifying
cede;cedes;cede;is ceding;are ceding
sneck;snecks;sneck;is snecking;are snecking
deaminize;deaminizes;deaminize;is deaminizing;are deaminizing
collate;collates;collate;is collating;are collating
despoil;despoils;despoil;is despoiling;are despoiling
down;downs;down;is downing;are downing
retrench;retrenches;retrench;is retrenching;are retrenching
pen;pens;pen;is penning;are penning
schlep;schleps;schlep;is schlepping;are schlepping
reward;rewards;reward;is rewarding;are rewarding
slough;sloughs;slough;is sloughing;are sloughing
stamp;stamps;stamp;is stamping;are stamping
chevy;chevies;chevy;is chevying;are chevying
melt;melts;melt;is melting;are melting
ranch;ranches;ranch;is ranching;are ranching
counsel;counsels;counsel;is counselling;are counselling
portray;portrays;portray;is portraying;are portraying
display;displays;display;is displaying;are displaying
exhume;exhumes;exhume;is exhuming;are exhuming
ligate;ligates;ligate;is ligating;are ligating
subclass;subclasses;subclass;is subclassing;are subclassing
hesitate;hesitates;hesitate;is hesitating;are hesitating
hear;hears;hear;is hearing;are hearing
symmetrize;symmetrizes;symmetrize;is symmetrizing;are symmetrizing
purpose;purposes;purpose;is purposing;are purposing
spike;spikes;spike;is spiking;are spiking
relumine;relumines;relumine;is relumining;are relumining
refrigerate;refrigerates;refrigerate;is refrigerating;are refrigerating
nitrify;nitrifies;nitrify;is nitrifying;are nitrifying
tallage;tallages;tallage;is tallaging;are tallaging
rinse;rinses;rinse;is rinsing;are rinsing
inflict;inflicts;inflict;is inflicting;are inflicting
descry;descries;descry;is descrying;are descrying
bristle;bristles;bristle;is bristling;are bristling
release;releases;release;is releasing;are releasing
side;sides;side;is siding;are siding
seem;seems;seem;is seeming;are seeming
fan;fans;fan;is fanning;are fanning
validate;validates;validate;is validating;are validating
foretell;foretells;foretell;is foretelling;are foretelling
lime;limes;lime;is liming;are liming
school;schools;school;is schooling;are schooling
wadset;wadsets;wadset;is wadsetting;are wadsetting
double;doubles;double;is doubling;are doubling
entrammel;entrammels;entrammel;is entrammelling;are entrammelling
speechify;speechifies;speechify;is speechifying;are speechifying
pioneer;pioneers;pioneer;is pioneering;are pioneering
dribble;dribbles;dribble;is dribbling;are dribbling
bring;brings;bring;is bringing;are bringing
encipher;enciphers;encipher;is enciphering;are enciphering
shoal;shoals;shoal;is shoaling;are shoaling
worship;worships;worship;is worshipping;are worshipping
attain;attains;attain;is attaining;are attaining
dib;dibs;dib;is dibbing;are dibbing
spoof;spoofs;spoof;is spoofing;are spoofing
benefit;benefits;benefit;is benefiting;are benefiting
doze;dozes;doze;is dozing;are dozing
swizzle;swizzles;swizzle;is swizzling;are swizzling
pool;pools;pool;is pooling;are pooling
tunnel;tunnels;tunnel;is tunnelling;are tunnelling
delineate;delineates;delineate;is delineating;are delineating
intervene;intervenes;intervene;is intervening;are intervening
automate;automates;automate;is automating;are automating
bung;bungs;bung;is bunging;are bunging
suberize;suberizes;suberize;is suberizing;are suberizing
ritualize;ritualizes;ritualize;is ritualizing;are ritualizing
scrawl;scrawls;scrawl;is scrawling;are scrawling
report;reports;report;is reporting;are reporting
hobnob;hobnobs;hobnob;is hobnobbing;are hobnobbing
appraise;appraises;appraise;is appraising;are appraising
consent;consents;consent;is consenting;are consenting
ambush;ambushes;ambush;is ambushing;are ambushing
boat;boats;boat;is boating;are boating
eloin;eloins;eloin;is eloining;are eloining
span;spans;span;is spanning;are spanning
weaken;weakens;weaken;is weakening;are weakening
snicker;snickers;snicker;is snickering;are snickering
overthrow;overthrows;overthrow;is overthrowing;are overthrowing
overact;overacts;overact;is overacting;are overacting
chomp;chomps;chomp;is chomping;are chomping
windlass;windlasses;windlass;is windlassing;are windlassing
pontificate;pontificates;pontificate;is pontificating;are pontificating
frog;frogs;frog;is frogging;are frogging
swap;swaps;swap;is swapping;are swapping
appertain;appertains;appertain;is appertaining;are appertaining
certificate;certificates;certificate;is certificating;are certificating
realize;realizes;realize;is realizing;are realizing
golly;gollies;golly;is gollying;are gollying
albumenize;albumenizes;albumenize;is albumenizing;are albumenizing
triple-tongue;triple-tongues;triple-tongue;is triple-tonguing;are triple-tonguing
idolatrize;idolatrizes;idolatrize;is idolatrizing;are idolatrizing
inflect;inflects;inflect;is inflecting;are inflecting
ruminate;ruminates;ruminate;is ruminating;are ruminating
snatch;snatches;snatch;is snatching;are snatching
pamphleteer;pamphleteers;pamphleteer;is pamphleteering;are pamphleteering
giftwrap;giftwraps;giftwrap;is giftwrapping;are giftwrapping
degrease;degreases;degrease;is degreasing;are degreasing
kip;kips;kip;is kipping;are kipping
overwork;overworks;overwork;is overworking;are overworking
blest;blests;blest;is blesting;are blesting
illegalize;illegalizes;illegalize;is illegalizing;are illegalizing
tuck;tucks;tuck;is tucking;are tucking
airmail;airmails;airmail;is airmailing;are airmailing
island;islands;island;is islanding;are islanding
decolour;decolours;decolour;is decolouring;are decolouring
demean;demeans;demean;is demeaning;are demeaning
slug;slugs;slug;is slugging;are slugging
reek;reeks;reek;is reeking;are reeking
hock;hocks;hock;is hocking;are hocking
toe;toes;toe;is toeing;are toeing
holiday;holidays;holiday;is holidaying;are holidaying
divinize;divinizes;divinize;is divinizing;are divinizing
requisition;requisitions;requisition;is requisitioning;are requisitioning
encircle;encircles;encircle;is encircling;are encircling
gangrene;gangrenes;gangrene;is gangrening;are gangrening
bushwhack;bushwhacks;bushwhack;is bushwhacking;are bushwhacking
stabilize;stabilizes;stabilize;is stabilizing;are stabilizing
repay;repays;repay;is repaying;are repaying
trigger;triggers;trigger;is triggering;are triggering
outbreed;outbreeds;outbreed;is outbreeding;are outbreeding
interstratify;interstratifies;interstratify;is interstratifying;are interstratifying
solve;solves;solve;is solving;are solving
cover;covers;cover;is covering;are covering
transmute;transmutes;transmute;is transmuting;are transmuting
travel;travels;travel;is travelling;are travelling
gyve;gyves;gyve;is gyving;are gyving
rescue;rescues;rescue;is rescuing;are rescuing
prearrange;prearranges;prearrange;is prearranging;are prearranging
fluorinate;fluorinates;fluorinate;is fluorinating;are fluorinating
sibilate;sibilates;sibilate;is sibilating;are sibilating
doublepark;doubleparks;doublepark;is doubleparking;are doubleparking
browse;browses;browse;is browsing;are browsing
wimple;wimples;wimple;is wimpling;are wimpling
track;tracks;track;is tracking;are tracking
hypothesize;hypothesizes;hypothesize;is hypothesizing;are hypothesizing
fowl;fowls;fowl;is fowling;are fowling
bushel;bushels;bushel;is bushelling;are bushelling
substantivize;substantivizes;substantivize;is substantivizing;are substantivizing
stravaig;stravaigs;stravaig;is stravaiging;are stravaiging
include;includes;include;is including;are including
idolize;idolizes;idolize;is idolizing;are idolizing
reelect;reelects;reelect;is reelecting;are reelecting
maim;maims;maim;is maiming;are maiming
observe;observes;observe;is observing;are observing
bake;bakes;bake;is baking;are baking
peeve;peeves;peeve;is peeving;are peeving
sell;sells;sell;is selling;are selling
yammer;yammers;yammer;is yammering;are yammering
unthrone;unthrones;unthrone;is unthroning;are unthroning
silence;silences;silence;is silencing;are silencing
ride;rides;ride;is riding;are riding
spiflicate;spiflicates;spiflicate;is spiflicating;are spiflicating
anthologize;anthologizes;anthologize;is anthologizing;are anthologizing
gesticulate;gesticulates;gesticulate;is gesticulating;are gesticulating
visualize;visualizes;visualize;is visualizing;are visualizing
chair;chairs;chair;is chairing;are chairing
appease;appeases;appease;is appeasing;are appeasing
compartmentalize;compartmentalizes;compartmentalize;is compartmentalizing;are compartmentalizing
mitigate;mitigates;mitigate;is mitigating;are mitigating
pitapat;pitapats;pitapat;is pitapatting;are pitapatting
unbosom;unbosoms;unbosom;is unbosoming;are unbosoming
leg;legs;leg;is legging;are legging
whipsaw;whipsaws;whipsaw;is whipsawing;are whipsawing
ascertain;ascertains;ascertain;is ascertaining;are ascertaining
file;files;file;is filing;are filing
assault;assaults;assault;is assaulting;are assaulting
entwintwine;entwintwines;entwintwine;is entwintwining;are entwintwining
machinate;machinates;machinate;is machinating;are machinating
metaphysicize;metaphysicizes;metaphysicize;is metaphysicizing;are metaphysicizing
browbeat;browbeats;browbeat;is browbeating;are browbeating
ford;fords;ford;is fording;are fording
sharpen;sharpens;sharpen;is sharpening;are sharpening
reimport;reimports;reimport;is reimporting;are reimporting
swag;swags;swag;is swagging;are swagging
coach;coachs;coach;is coaching;are coaching
hotdog;hotdogs;hotdog;is hotdoging;are hotdoging
crick;cricks;crick;is cricking;are cricking
overpass;overpasses;overpass;is overpassing;are overpassing
revolutionize;revolutionizes;revolutionize;is revolutionizing;are revolutionizing
scamp;scamps;scamp;is scamping;are scamping
intermarry;intermarries;intermarry;is intermarrying;are intermarrying
caramelize;caramelizes;caramelize;is caramelizing;are caramelizing
ensile;ensiles;ensile;is ensiling;are ensiling
disbranch;disbranches;disbranch;is disbranching;are disbranching
force-ripe;force-ripes;force-ripe;is force-riping;are force-riping
veer;veers;veer;is veering;are veering
teeter;teeters;teeter;is teetering;are teetering
paste;pastes;paste;is pasting;are pasting
misgive;misgives;misgive;is misgiving;are misgiving
reroute;reroutes;reroute;is rerouting;are rerouting
witness;witnesses;witness;is witnessing;are witnessing
jazz;jazzes;jazz;is jazzing;are jazzing
initialize;initializes;initialize;is initializing;are initializing
shire;shires;shire;is shiring;are shiring
quant;quants;quant;is quanting;are quanting
wear;wears;wear;is wearing;are wearing
ram;rams;ram;is ramming;are ramming
din;dins;din;is dinning;are dinning
squire;squires;squire;is squiring;are squiring
spall;spalls;spall;is spalling;are spalling
overissue;overissues;overissue;is overissuing;are overissuing
scurry;scurries;scurry;is scurrying;are scurrying
boxhaul;boxhauls;boxhaul;is boxhauling;are boxhauling
elicit;elicits;elicit;is eliciting;are eliciting
leaven;leavens;leaven;is leavening;are leavening
license;licenses;license;is licensing;are licensing
diet;diets;diet;is dieting;are dieting
screw;screws;screw;is screwing;are screwing
dryclean;drycleans;dryclean;is drycleaning;are drycleaning
spoil;spoils;spoil;is spoiling;are spoiling
winterfeed;winterfeeds;winterfeed;is winterfeeding;are winterfeeding
putrefy;putrefies;putrefy;is putrefying;are putrefying
confuse;confuses;confuse;is confusing;are confusing
consecrate;consecrates;consecrate;is consecrating;are consecrating
strap;straps;strap;is strapping;are strapping
declass;declasses;declass;is declassing;are declassing
warn;warns;warn;is warning;are warning
overtime;overtimes;overtime;is overtiming;are overtiming
stool;stools;stool;is stooling;are stooling
indurate;indurates;indurate;is indurating;are indurating
mad;mads;mad;is madding;are madding
grouch;grouches;grouch;is grouching;are grouching
flimflam;flimflams;flimflam;is flimflamming;are flimflamming
carbolize;carbolizes;carbolize;is carbolizing;are carbolizing
survey;surveys;survey;is surveying;are surveying
laze;lazes;laze;is lazing;are lazing
favour;favours;favour;is favouring;are favouring
unclose;uncloses;unclose;is unclosing;are unclosing
predispose;predisposes;predispose;is predisposing;are predisposing
beetle;beetles;beetle;is beetling;are beetling
auction;auctions;auction;is auctioning;are auctioning
attemper;attempers;attemper;is attempering;are attempering
farrow;farrows;farrow;is farrowing;are farrowing
cleanse;cleanses;cleanse;is cleansing;are cleansing
disfavour;disfavours;disfavour;is disfavouring;are disfavouring
ok;oks;ok;is oking;are oking
trouble;troubles;trouble;is troubling;are troubling
thrum;thrums;thrum;is thrumming;are thrumming
consociate;consociates;consociate;is consociating;are consociating
impoverish;impoverishes;impoverish;is impoverishing;are impoverishing
lump;lumps;lump;is lumping;are lumping
colorcode;colorcodes;colorcode;is colorcoding;are colorcoding
tan;tans;tan;is tanning;are tanning
complete;completes;complete;is completing;are completing
engrave;engraves;engrave;is engraving;are engraving
sned;sneds;sned;is snedding;are snedding
espalier;espaliers;espalier;is espaliering;are espaliering
narrate;narrates;narrate;is narrating;are narrating
volunteer;volunteers;volunteer;is volunteering;are volunteering
generate;generates;generate;is generating;are generating
spurn;spurns;spurn;is spurning;are spurning
premise;premises;premise;is premising;are premising
righten;rightens;righten;is rightening;are rightening
foot;foots;foot;is footing;are footing
squaredance;squaredances;squaredance;is squaredancing;are squaredancing
colly;collies;colly;is collying;are collying
ossify;ossifies;ossify;is ossifying;are ossifying
balance;balances;balance;is balancing;are balancing
voice;voices;voice;is voicing;are voicing
whistle;whistles;whistle;is whistling;are whistling
clop;clops;clop;is clopping;are clopping
bename;benames;bename;is benaming;are benaming
gamble;gambles;gamble;is gambling;are gambling
parley;parleys;parley;is parleying;are parleying
wag;wags;wag;is wagging;are wagging
swoosh;swooshes;swoosh;is swooshing;are swooshing
jook;jooks;jook;is jooking;are jooking
channelize;channelizes;channelize;is channelizing;are channelizing
dock;docks;dock;is docking;are docking
strum;strums;strum;is strumming;are strumming
depolarize;depolarizes;depolarize;is depolarizing;are depolarizing
deplete;depletes;deplete;is depleting;are depleting
pluck;plucks;pluck;is plucking;are plucking
glut;gluts;glut;is glutting;are glutting
gab;gabs;gab;is gabbing;are gabbing
evince;evinces;evince;is evincing;are evincing
jar;jars;jar;is jarring;are jarring
excrete;excretes;excrete;is excreting;are excreting
lure;lure;lure;is luring;are luring
electroform;electroforms;electroform;is electroforming;are electroforming
sum;sums;sum;is summing;are summing
pressure;pressures;pressure;is pressuring;are pressuring
centuplicate;centuplicates;centuplicate;is centuplicating;are centuplicating
discredit;discredits;discredit;is discrediting;are discrediting
keek;keeks;keek;is keeking;are keeking
crib;cribs;crib;is cribbing;are cribbing
butter;butters;butter;is buttering;are buttering
scunge;scunges;scunge;is scunging;are scunging
hinge;hinges;hinge;is hinging;are hinging
vacuum;vacuums;vacuum;is vacuuming;are vacuuming
fillet;fillets;fillet;is filleting;are filleting
affix;affixes;affix;is affixing;are affixing
neaten;neatens;neaten;is neatening;are neatening
cudgel;cudgels;cudgel;is cudgelling;are cudgelling
smoulder;smoulders;smoulder;is smouldering;are smouldering
whelm;whelms;whelm;is whelming;are whelming
scupper;scuppers;scupper;is scuppering;are scuppering
gin;gins;gin;is ginning;are ginning
scutter;scutters;scutter;is scuttering;are scuttering
mistime;mistimes;mistime;is mistiming;are mistiming
interdict;interdicts;interdict;is interdicting;are interdicting
rain;rains;rain;is raining;are raining
shame;shames;shame;is shaming;are shaming
grout;grouts;grout;is grouting;are grouting
lumber;lumbers;lumber;is lumbering;are lumbering
drill;drills;drill;is drilling;are drilling
earwig;earwigs;earwig;is earwigging;are earwigging
capitalize;capitalizes;capitalize;is capitalizing;are capitalizing
upstage;upstages;upstage;is upstaging;are upstaging
overtax;overtaxes;overtax;is overtaxing;are overtaxing
derestrict;derestricts;derestrict;is derestricting;are derestricting
overshadow;overshadows;overshadow;is overshadowing;are overshadowing
refloat;refloats;refloat;is refloating;are refloating
introvert;introverts;introvert;is introverting;are introverting
tourney;tourneys;tourney;is tourneying;are tourneying
telegraph;telegraphs;telegraph;is telegraphing;are telegraphing
retouch;retouches;retouch;is retouching;are retouching
design;designs;design;is designing;are designing
trade;trades;trade;is trading;are trading
blend;blends;blend;is blending;are blending
sluff;sluffs;sluff;is sluffing;are sluffing
obsolesce;obsolesces;obsolesce;is obsolescing;are obsolescing
uncouple;uncouples;uncouple;is uncoupling;are uncoupling
tide;tides;tide;is tiding;are tiding
physic;physics;physic;is physicking;are physicking
re-dress;re-dresses;re-dress;is re-dressing;are re-dressing
chelate;chelates;chelate;is chelating;are chelating
yawp;yawps;yawp;is yawping;are yawping
chemosorb;chemosorbs;chemosorb;is chemosorbing;are chemosorbing
jargonize;jargonizes;jargonize;is jargonizing;are jargonizing
stope;stopes;stope;is stoping;are stoping
incapacitate;incapacitates;incapacitate;is incapacitating;are incapacitating
deice;deices;deice;is deicing;are deicing
abscise;abscises;abscise;is abscising;are abscising
unsling;unslings;unsling;is unslinging;are unslinging
unbonnet;unbonnets;unbonnet;is unbonneting;are unbonneting
undermine;undermines;undermine;is undermining;are undermining
spancel;spancels;spancel;is spancelling;are spancelling
forward;forwards;forward;is forwarding;are forwarding
mercurate;mercurates;mercurate;is mercurating;are mercurating
blouse;blouses;blouse;is blousing;are blousing
give;gives;give;is giving;are giving
veil;veils;veil;is veiling;are veiling
pod;pods;pod;is podding;are podding
overplay;overplays;overplay;is overplaying;are overplaying
compost;composts;compost;is composting;are composting
bob;bobs;bob;is bobbing;are bobbing
brine;brines;brine;is brining;are brining
halve;halve;halve;is halving;are halving
sermonize;sermonizes;sermonize;is sermonizing;are sermonizing
molt;molts;molt;is molting;are molting
opine;opines;opine;is opining;are opining
usher;ushers;usher;is ushering;are ushering
arrest;arrests;arrest;is arresting;are arresting
bioassay;bioassays;bioassay;is bioassaying;are bioassaying
racemize;racemizes;racemize;is racemizing;are racemizing
pump;pumps;pump;is pumping;are pumping
ween;weens;ween;is weening;are weening
alchemize;alchemizes;alchemize;is alchemizing;are alchemizing
remain;remains;remain;is remaining;are remaining
slaver;slavers;slaver;is slavering;are slavering
daub;daubs;daub;is daubing;are daubing
rustle;rustles;rustle;is rustling;are rustling
article;articles;article;is articling;are articling
fog;fogs;fog;is fogging;are fogging
addle;addles;addle;is addling;are addling
bodge;bodges;bodge;is bodging;are bodging
wan;wans;wan;is wanning;are wanning
calm;calms;calm;is calming;are calming
